date,nav,benchmark_ticker,benchmark_close,nav_rel_benchmark
2026-03-26,100000.00,SPY,646.5900,154.657511
2026-03-27,100000.00,SPY,646.5900,154.657511
2026-03-30,100000.00,SPY,646.5900,154.657511
2026-03-31,99983.95,SPY,650.3400,153.741048
2026-04-06,99983.05,SPY,655.8300,152.452691
2026-04-07,99983.05,SPY,655.8300,152.452691
2026-04-08,99983.05,SPY,655.8300,152.452691
2026-04-09,99983.05,SPY,655.8300,152.452691
2026-04-10,99983.05,SPY,655.8300,152.452691
2026-04-13,99983.05,SPY,655.8300,152.452691
2026-04-14,99983.05,SPY,655.8300,152.452691
2026-04-15,99983.05,SPY,655.8300,152.452691
2026-04-16,99950.86,SPY,655.8300,152.403606
2026-04-17,101536.21,SPY,701.6600,144.708569
